symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2016-02-22 00:00:00+00:00,90.5509056303,90.569599046,89.6536216769,90.0181432829,34280758,96.88,0.0,96.9,95.92,96.31,1.0,34280758
AAPL,2016-02-23 00:00:00+00:00,88.5039766116,90.1957307321,88.3731227017,90.1022636536,31942633,94.69,0.0,96.5,94.55,96.4,1.0,31942633
AAPL,2016-02-24 00:00:00+00:00,89.8218624181,90.0835702379,87.2234776364,87.8403603544,36255745,96.1,0.0,96.38,93.32,93.98,1.0,36255745
AAPL,2016-02-25 00:00:00+00:00,90.4387451361,90.4387451361,89.0273922511,89.7751288789,27582659,96.76,0.0,96.76,95.25,96.05,1.0,27582659
AAPL,2016-02-26 00:00:00+00:00,90.5789457538,91.6198886068,90.2705043948,90.8500002814,28991131,96.91,0.0,98.0237,96.58,97.2,1.0,28991131
AAPL,2016-02-29 00:00:00+00:00,90.3733181812,91.8127111897,90.3359313498,90.5322122146,35216277,96.69,0.0,98.23,96.65,96.86,1.0,35216277
AAPL,2016-03-01 00:00:00+00:00,93.9624539947,94.1867749831,91.0556278541,91.2706021346,50407147,100.53,0.0,100.77,97.42,97.65,1.0,50407147
AAPL,2016-03-02 00:00:00+00:00,94.1680815674,94.2989354773,93.1305969963,93.9437605791,33169560,100.75,0.0,100.89,99.64,100.51,1.0,33169560
AAPL,2016-03-03 00:00:00+00:00,94.869084656,95.0652720537,93.887680332,94.009187534,36955742,101.5,0.0,101.7099,100.45,100.58,1.0,36955742
AAPL,2016-03-04 00:00:00+00:00,96.280437541,96.9720939218,94.747577454,95.6822482388,46055100,103.01,0.0,103.75,101.37,102.37,1.0,46055100
AAPL,2016-03-07 00:00:00+00:00,95.2149128464,96.1121967998,94.3643624322,95.7009416545,35915810,101.87,0.0,102.83,100.96,102.39,1.0,35915810
AAPL,2016-03-08 00:00:00+00:00,94.4297893871,95.11209906,93.8409467927,94.1961216909,31182194,101.03,0.0,101.76,100.4,100.78,1.0,31182194
AAPL,2016-03-09 00:00:00+00:00,94.5139097578,94.9438583188,93.7194395907,94.6914972069,27201683,101.12,0.0,101.58,100.27,101.31,1.0,27201683
AAPL,2016-03-10 00:00:00+00:00,94.560643297,95.5607410367,93.6072790965,94.7849642854,33513577,101.17,0.0,102.24,100.15,101.41,1.0,33513577
AAPL,2016-03-11 00:00:00+00:00,95.5794344524,95.5981278681,94.869084656,95.5607410367,27408237,102.26,0.0,102.28,101.5,102.24,1.0,27408237
AAPL,2016-03-14 00:00:00+00:00,95.8224488565,96.1869704625,95.1307924757,95.2522996778,25076062,102.52,0.0,102.91,101.78,101.91,1.0,25076062
AAPL,2016-03-15 00:00:00+00:00,97.7478706731,98.308673144,97.0655610002,97.1683747866,40067734,104.58,0.0,105.18,103.85,103.96,1.0,40067734
AAPL,2016-03-16 00:00:00+00:00,99.047063064,99.3648511308,97.757217381,97.7759107967,38303493,105.97,0.0,106.31,104.59,104.61,1.0,38303493
AAPL,2016-03-17 00:00:00+00:00,98.8881690306,99.5143984564,98.1030455714,98.6264612108,34420705,105.8,0.0,106.47,104.96,105.52,1.0,34420705
AAPL,2016-03-18 00:00:00+00:00,99.0003295248,99.5424385799,98.3180198519,99.3928912544,44205171,105.92,0.0,106.5,105.19,106.34,1.0,44205171
AAPL,2016-03-21 00:00:00+00:00,98.9909828169,100.6173099824,98.2713797797,99.0096762326,35502678,105.91,0.0,107.65,105.1401,105.93,1.0,35502678
AAPL,2016-03-22 00:00:00+00:00,99.7480661526,100.2808284999,98.3367132676,98.3741000989,32444375,106.72,0.0,107.29,105.21,105.25,1.0,32444375
AAPL,2016-03-23 00:00:00+00:00,99.1966103896,100.0752009273,98.9816361091,99.5237451642,25703495,106.13,0.0,107.07,105.9,106.48,1.0,25703495
